Date,Price,Property Type,Location,Bedrooms,Bathrooms,Parking,Garden,Lease Length,Contact,Quarter
February 2024,"€ 7,490 per month",House,Dublin City South - Dublin 4,1,1 Bathroom,No,Yes,3.0,Estate Agent,Q1
February 2024,"€ 2,420",Apartment,Dublin City North - Dublin 1,1 Bedroom,2 Bathrooms,No,No,3 months,Estate Agent,Q1
February 2024,"€ 3,010",House,Dublin City South - Dublin 8,4 Bedrooms,2 Bathrooms,Yes,Yes,12 months,Estate Agent,Q1
February 2024,"€ 4,870",House,Dublin City South - Dublin 6,4 Bedrooms,4 Bathrooms,Yes,Yes,12 months,Estate Agent,Q1
February 2024,"€ 1,600",Apartment,Dublin City South - Dublin 4,2 Bedrooms,1 Bathroom,Yes,No,6 months,Owner,Q1
February 2024,"€ 1,830 per month",Apartment,Dublin City North - Dublin 1,1 Bedroom,1 Bathroom,No,No,12 months,Estate Agent,Q1
February 2024,"€ 4,450",House,Dublin City South - Dublin 6,3 Bedrooms,2 Bathrooms,No,Yes,3 months,Owner,Q1
February 2024,"€ 1,570",Apartment,Dublin City South - Dublin 2,1 Bedroom,2 Bathrooms,No,No,12 months,Estate Agent,Q1
February 2024,"€ 1,420 per month",Apartment,Dublin City North - Dublin 1,2,1 Bathroom,No,N,6 months,Owner,Q1
February 2024,"€ 3,350",House,Dublin City North - Dublin 17,4 Bedrooms,1,No,Yes,12 months,Estate Agent,Q1
February 2024,"€2,640.00",House,Dublin City South - Dublin 12,4 Bedrooms,1,Yes,Yes,12 months,Estate Agent,Q1
February 2024,"€ 2,300",Apartment,Dublin City North - Dublin 1,2 Bedrooms,1 Bathroom,No,N,12 months,Estate Agent,Q1
February 2024,"€ 1,670",Apartment,Dublin City South - Dublin 2,2 Bedrooms,2 Bathrooms,N,???,12 months,Estate Agent,Q1
February 2024,"€ 1,450",Apartment,Dublin City North - Dublin 15,2 Bedrooms,2 Bathrooms,No,No,12 months,Estate Agent,Q1
February 2024,"€ 2,360",Apartment,Dublin City North - Dublin 13,2 Bedrooms,1 Bathroom,No,No,12 months,Estate Agent,Q1
February 2024,"€ 1,870",Apartment,Dublin City South - Dublin 8,2 Bedrooms,1,No,No,12 months,Estate Agent,Q1
February 2024,"€ 2,280",Apartment,South Co Dublin,1 Bedroom,2 Bathrooms,Yes,???,3.0,Estate Agent,Q1
February 2024,"€ 1,100 per month",Apartment,Dublin City South - Dublin 10,1 Bedroom,2,No,No,12 months,Estate Agent,Q1
February 2024,"€ 1,090",Apartment,Dublin City North - Dublin 17,2 Bedrooms,2 Bathrooms,No,No,12 months,Owner,Q1
February 2024,"€ 1,970",Apartment,Dublin City North - Dublin 1,1,2 Bathrooms,No,???,12 months,Estate Agent,Q1
February 2024,"€ 2,290",Apartment,Dublin City South - Dublin 14,2,1 Bathroom,Yes,No,6 months,Estate Agent,Q1
February 2024,"€ 1,310",Apartment,Dublin City North - Dublin 13,1 Bedroom,1 Bathroom,No,No,12 months,Estate Agent,Q1
February 2024,"€ 2,440",Apartment,Dublin City South - Dublin 2,2 Bedrooms,1 Bathroom,No,No,12.0,Estate Agent,Q1
February 2024,"€ 3,420",House,Dublin City South - Dublin 24,3 Bedrooms,2 Bathrooms,Yes,Yes,12 months,Owner,Q1
February 2024,"€ 2,810 per month",Apartment,Dublin City North - Dublin 1,2 Bedrooms,1 Bathroom,No,No,12 months,Estate Agent,Q1
February 2024,"€1,090.00",Apartment,Dublin City North - Dublin 1,1 Bedroom,1,???,No,12 months,Estate Agent,Q1
February 2024,"€ 2,320",House,Dublin City South - Dublin 16,4 Bedrooms,3,Yes,Yes,12 months,Owner,Q1
February 2024,"€ 1,390 per month",Apartment,Dublin City South - Dublin 12,1 Bedroom,1 Bathroom,No,No,12 months,Estate Agent,Q1
February 2024,"€ 4,010",House,North Co Dublin,3,1 Bathroom,Yes,Yes,12.0,Estate Agent,Q1
February 2024,"€ 3,410 per month",Apartment,Dublin City South - Dublin 6W,3,2 Bathrooms,???,No,12 months,Estate Agent,Q1
February 2024,"€ 3,650",House,Dublin City North - Dublin 5,3 Bedrooms,1 Bathroom,Y,???,12 months,Owner,Q1
February 2024,"€ 3,390 per month",House,Dublin City North - Dublin 1,4 Bedrooms,2 Bathrooms,No,Yes,12 months,Estate Agent,Q1
February 2024,"€ 2,010",Apartment,Dublin City North - Dublin 1,1,2 Bathrooms,No,No,12 months,Owner,Q1
February 2024,"€ 1,680 per month",Apartment,South Co Dublin,1 Bedroom,2 Bathrooms,No,No,12 months,Estate Agent,Q1
